Site,Grp,FR.09,NIS.09,FR.17,NIS.17,PNIS.Prop,RD.09,RD.17,Lat,Long,Owner,Area.2007,Area.2017,Area.Change,RdDens.1KM,Conn,Invasive,Richness.09,PNIS.Tot,PNIS.T,FR.T,RD.T,Rich.T
ALBERT,1,3,0,3,0,0,0.212956894,0.212956894,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,1,3,0,3,0,0,0.212956894,0.212956894,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,0,0,14
BEAR-E,1,3,0,3,0,0,0.212956894,0.212956894,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,0,0,-1
BOULDER-E,1,3,0,3,0,0,0.212956894,0.212956894,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,0,0,25
BOULDER-W,1,3,0,3,0,0,0.212956894,0.212956894,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,0,0,15
CAMROSE,1,2,0,2,0,0,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,1,2,0,2,0,0,,,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,0,0,19
CHATTER,1,2,0,2,0,0,,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,1,3,0,3,0,0,0.212956894,0.212956894,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0,8
DEAN-P,1,3,0,3,0,0,0.212956894,0.212956894,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,0,0
FKING-N,1,3,0,3,0,0,0.212956894,0.212956894,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,0,0,14
FKING-S,1,3,0,3,0,0,0.212956894,0.212956894,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,1,4,0,4,0,0,0.223824327,0.223824327,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,0,0,21
GONZALES,1,3,0,3,0,0,0.232553115,0.232553115,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,0,0,1
GORE,1,3,0,3,0,0,0.212956894,0.212956894,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,0,-2
HORTH,1,3,0,3,0,0,0.212956894,0.212956894,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,1,3,0,3,0,0,0.212956894,0.212956894,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,0,0,4
KNOCKAN-S,1,3,0,3,0,0,0.212956894,0.212956894,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,0,0,6
KONUKSON,1,5,0,4,0,0,0.213577404,0.223824327,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,-1,0.010246924,-13
KONUKSON-A,1,3,0,4,0,0,0.212956894,0.237641729,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,1,0.024684835,-3
LAYRITZ,1,4,0,4,0,0,0.214698557,0.214698557,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,0,0,5
LILDOUG,1,3,0,3,0,0,0.212956894,0.212956894,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,0,0,15
MOSSROCK,1,2,0,2,0,0,,,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,0,0,17
PEACOCK,1,1,0,2,0,0,,,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,1,0,19
SCAFE-E,1,3,0,3,0,0,0.212956894,0.212956894,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,0,0,20
SCAFE-W,1,3,0,3,0,0,0.212956894,0.212956894,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,0,10
SEYMOUR-S,1,3,0,3,0,0,0.212956894,0.212956894,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,0,0,17
STEWART,1,3,0,3,0,0,0.212956894,0.212956894,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,0,0,17
SUMMIT,1,2,0,3,0,0,,0.202799282,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,1,0.202799282,6
XMAS,1,3,0,4,0,0,0.182391935,0.223824327,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,1,0.041432392,9
ALBERT,2,2,0,2,0,0,,,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,2,2,0,1,0,0,,,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,-1,0,14
BEAR-E,2,2,0,2,0,0,,,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,0,0,-1
BOULDER-E,2,3,0,3,0,0,0.192456532,0.214127368,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,0,0.021670836,25
BOULDER-W,2,2,0,1,0,0,,,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,-1,0,15
CAMROSE,2,,,,,,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,2,1,0,1,0,0,,,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,0,0,19
CHATTER,2,1,0,1,0,0,,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,2,2,0,2,0,0,,,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0,8
DEAN-P,2,3,0,3,0,0,0.220690448,0.154884448,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,-0.065806,0
FKING-N,2,3,0,5,0,0,0.214127368,0.205324776,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,2,-0.008802592,14
FKING-S,2,2,0,2,0,0,,,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,2,3,0,2,0,0,0.187837593,,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,-1,-0.187837593,21
GONZALES,2,1,0,1,0,0,,,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,0,0,1
GORE,2,3,0,3,0,0,0.154884448,0.154884448,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,0,-2
HORTH,2,2,0,4,0,0,,0.209210284,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,2,0.209210284,15
KNOCKAN-N,2,3,0,3,0,0,0.214127368,0.214127368,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,0,0,4
KNOCKAN-S,2,2,0,2,0,0,,,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,0,0,6
KONUKSON,2,1,0,1,0,0,,,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,0,0,-13
KONUKSON-A,2,2,0,2,0,0,,,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,0,0,-3
LAYRITZ,2,3,0,3,0,0,0.214127368,0.214127368,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,0,0,5
LILDOUG,2,3,0,2,0,0,0.152956965,,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,-1,-0.152956965,15
MOSSROCK,2,2,1,2,1,0.5,,,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,0,0,17
PEACOCK,2,,,,,,,,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,0,0,19
SCAFE-E,2,1,0,2,0,0,,,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,1,0,20
SCAFE-W,2,1,0,1,0,0,,,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,0,10
SEYMOUR-S,2,3,0,3,0,0,0.214127368,0.214127368,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,0,0,17
STEWART,2,1,0,2,0,0,,,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,1,0,17
SUMMIT,2,2,1,1,0,0.5,,,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,-1,0,6
XMAS,2,1,0,2,1,0,,,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,1,0,9
ALBERT,3,3,2,3,2,0.666666667,0.273520765,0.273520765,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,3,5,4,5,4,0.8,0.303021823,0.303021823,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,0,0,14
BEAR-E,3,5,4,4,3,0.8,0.303021823,0.293904212,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,-1,-0.009117611,-1
BOULDER-E,3,5,4,6,4,0.8,0.303021823,0.298659319,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,1,-0.004362504,25
BOULDER-W,3,5,4,5,4,0.8,0.303021823,0.303021823,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,0,0,15
CAMROSE,3,4,3,6,5,0.75,0.27893321,0.301155047,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,2,0.022221837,-3
CEDAR,3,4,4,6,5,1,0.296614197,0.317466813,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,2,0.020852616,19
CHATTER,3,4,3,5,4,0.75,0.305072761,0.303021823,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,1,-0.002050938,9
DEAN-E,3,5,4,5,4,0.8,0.303021823,0.303021823,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0,8
DEAN-P,3,4,3,4,3,0.75,0.293904212,0.293904212,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,0,0
FKING-N,3,5,4,4,3,0.8,0.303021823,0.293904212,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,-1,-0.009117611,14
FKING-S,3,5,4,5,4,0.8,0.303021823,0.303021823,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,3,6,4,4,3,0.666666667,0.287825439,0.23375682,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,-2,-0.054068619,21
GONZALES,3,5,4,5,4,0.8,0.303021823,0.303021823,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,0,0,1
GORE,3,4,3,4,3,0.75,0.293904212,0.293904212,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,0,-2
HORTH,3,4,3,4,3,0.75,0.293904212,0.293904212,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,3,4,3,6,5,0.75,0.305072761,0.317466813,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,2,0.012394052,4
KNOCKAN-S,3,9,7,5,5,0.777777778,0.294716167,0.279383806,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,-4,-0.015332361,6
KONUKSON,3,3,2,3,2,0.666666667,0.283611726,0.283611726,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,0,0,-13
KONUKSON-A,3,5,4,4,3,0.8,0.295317701,0.27893321,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,-1,-0.016384492,-3
LAYRITZ,3,6,5,6,5,0.833333333,0.307946281,0.307946281,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,0,0,5
LILDOUG,3,5,4,6,5,0.8,0.303021823,0.307946281,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,1,0.004924458,15
MOSSROCK,3,6,5,6,5,0.833333333,0.317466813,0.317466813,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,0,0,17
PEACOCK,3,5,4,4,3,0.8,0.31501491,0.302849193,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,-1,-0.012165717,19
SCAFE-E,3,4,3,5,4,0.75,0.302849193,0.303021823,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,1,0.00017263,20
SCAFE-W,3,5,4,5,4,0.8,0.303021823,0.303021823,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,0,10
SEYMOUR-S,3,4,3,6,4,0.75,0.293904212,0.298659319,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,2,0.004755107,17
STEWART,3,4,3,5,4,0.75,0.302849193,0.303021823,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,1,0.00017263,17
SUMMIT,3,7,6,6,5,0.857142857,0.315295893,0.317185988,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,-1,0.001890095,6
XMAS,3,6,5,7,5,0.833333333,0.317466813,0.305995725,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,1,-0.011471088,9
ALBERT,4,2,2,2,2,1,,,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,4,4,2,4,2,0.5,0.193863408,0.193863408,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,0,0,14
BEAR-E,4,6,2,3,1,0.333333333,0.234276646,0.130800789,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,-3,-0.103475856,-1
BOULDER-E,4,2,2,4,2,1,,0.209342195,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,2,0.209342195,25
BOULDER-W,4,5,2,2,1,0.4,0.227771907,,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,-3,-0.227771907,15
CAMROSE,4,2,2,2,2,1,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,4,2,2,1,1,1,,,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,-1,0,19
CHATTER,4,2,2,2,2,1,,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,4,5,2,5,1,0.4,0.195259749,0.201579539,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0.00631979,8
DEAN-P,4,6,2,3,1,0.333333333,0.234276646,0.140637064,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,-3,-0.093639582,0
FKING-N,4,5,2,5,2,0.4,0.195259749,0.195259749,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,0,0,14
FKING-S,4,5,2,5,2,0.4,0.195259749,0.195259749,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,4,5,2,4,1,0.4,0.195259749,0.134273728,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,-1,-0.060986021,21
GONZALES,4,2,2,2,2,1,,,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,0,0,1
GORE,4,5,3,4,3,0.6,0.217472675,0.202529545,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,-1,-0.01494313,-2
HORTH,4,5,2,2,1,0.4,0.195259749,,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,-3,-0.195259749,15
KNOCKAN-N,4,6,2,4,2,0.333333333,0.24545953,0.193863408,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,-2,-0.051596122,4
KNOCKAN-S,4,3,3,4,3,1,0.205045084,0.202529545,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,1,-0.00251554,6
KONUKSON,4,2,2,2,1,1,,,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,0,0,-13
KONUKSON-A,4,2,2,1,1,1,,,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,-1,0,-3
LAYRITZ,4,2,2,2,2,1,,,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,0,0,5
LILDOUG,4,4,2,3,2,0.5,0.193863408,0.206273888,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,-1,0.01241048,15
MOSSROCK,4,2,2,2,2,1,,,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,0,0,17
PEACOCK,4,2,2,2,2,1,,,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,0,0,19
SCAFE-E,4,5,3,5,3,0.6,0.245637499,0.245637499,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,0,0,20
SCAFE-W,4,4,1,3,1,0.25,0.134273728,0.140637064,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,-1,0.006363336,10
SEYMOUR-S,4,6,3,7,3,0.5,0.200662741,0.234381488,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,1,0.033718748,17
STEWART,4,6,2,6,2,0.333333333,0.234276646,0.234276646,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,0,0,17
SUMMIT,4,3,2,3,2,0.666666667,0.206273888,0.206273888,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,0,0,6
XMAS,4,2,2,2,2,1,,,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,0,0,9
ALBERT,5,,,1,0,,,,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,1,0,-1
BEAR-A,5,2,0,3,1,0,,0.253217508,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,1,0.253217508,14
BEAR-E,5,3,1,4,1,0.333333333,0.252466577,0.25649617,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,1,0.004029593,-1
BOULDER-E,5,3,0,3,1,0,0.175692779,0.253243228,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,0,0.07755045,25
BOULDER-W,5,2,0,1,0,0,,,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,-1,0,15
CAMROSE,5,2,2,2,1,1,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,5,2,1,5,3,0.5,,0.229366499,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,3,0.229366499,19
CHATTER,5,2,0,3,1,0,,0.252466577,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,1,0.252466577,9
DEAN-E,5,3,1,3,1,0.333333333,0.253243228,0.253243228,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0,8
DEAN-P,5,1,0,1,0,0,,,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,0,0
FKING-N,5,1,0,1,1,0,,,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,0,0,14
FKING-S,5,1,1,3,1,1,,0.253217508,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,2,0.253217508,10
GARIBALDI-W,5,3,0,4,1,0,0.175692779,0.234754946,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,1,0.059062167,21
GONZALES,5,4,2,5,2,0.5,0.229757698,0.214454395,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,1,-0.015303303,1
GORE,5,4,1,4,1,0.25,0.25649617,0.25649617,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,0,-2
HORTH,5,3,1,3,1,0.333333333,0.253217508,0.253217508,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,5,4,1,3,1,0.25,0.245915221,0.252540098,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,-1,0.006624877,4
KNOCKAN-S,5,3,1,2,1,0.333333333,0.184786218,,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,-1,-0.184786218,6
KONUKSON,5,1,0,1,0,0,,,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,0,0,-13
KONUKSON-A,5,2,1,1,0,0.5,,,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,-1,0,-3
LAYRITZ,5,2,1,3,1,0.5,,0.252466577,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,1,0.252466577,5
LILDOUG,5,5,1,3,0,0.2,0.236432256,0.175692779,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,-2,-0.060739478,15
MOSSROCK,5,3,2,4,3,0.666666667,0.226411913,0.235734572,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,1,0.009322659,17
PEACOCK,5,1,1,2,1,1,,,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,1,0,19
SCAFE-E,5,3,0,3,0,0,0.211433875,0.211433875,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,0,0,20
SCAFE-W,5,3,0,3,1,0,0.211337736,0.183250397,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,-0.028087339,10
SEYMOUR-S,5,5,1,5,1,0.2,0.236432256,0.236432256,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,0,0,17
STEWART,5,3,0,3,0,0,0.211337736,0.211337736,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,0,0,17
