Site,Grp,FR.09,NIS.09,FR.17,NIS.17,PNIS.Prop,RD.09,RD.17,Lat,Long,Owner,Area.2007,Area.2017,Area.Change,RdDens.1KM,Conn,Invasive,Richness.09,PNIS.Tot,PNIS.T,FR.T,RD.T,Rich.T
SUMMIT,5,2,1,4,3,0.5,,0.235734572,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,2,0.235734572,6
XMAS,5,4,1,4,2,0.25,0.25649617,0.229757698,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,0,-0.026738472,9
ALBERT,6,4,1,3,0,0.25,0.216954841,0.225568499,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,-1,0.008613657,-1
BEAR-A,6,3,0,6,1,0,0.216026104,0.216725818,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,3,0.000699714,14
BEAR-E,6,6,0,6,0,0,0.195230489,0.195230489,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,0,0,-1
BOULDER-E,6,5,1,9,2,0.2,0.196685177,0.207269567,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,4,0.01058439,25
BOULDER-W,6,2,0,7,1,0,,0.195143587,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,5,0.195143587,15
CAMROSE,6,2,0,2,1,0,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,6,1,0,3,1,0,,0.196498465,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,2,0.196498465,19
CHATTER,6,3,2,2,1,0.666666667,0.175538758,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,-1,-0.175538758,9
DEAN-E,6,5,0,6,1,0,0.210202679,0.202979944,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,1,-0.007222735,8
DEAN-P,6,7,0,7,1,0,0.194445,0.214085803,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,0.019640804,0
FKING-N,6,6,0,5,1,0,0.215744862,0.232725437,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,-1,0.016980575,14
FKING-S,6,5,0,7,0,0,0.1954772,0.21373796,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,2,0.01826076,10
GARIBALDI-W,6,6,0,6,1,0,0.232811851,0.245236182,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,0,0.012424332,21
GONZALES,6,2,0,4,1,0,,0.229607033,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,2,0.229607033,1
GORE,6,6,0,9,1,0,0.243647782,0.236030357,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,3,-0.007617425,-2
HORTH,6,5,0,7,1,0,0.235050733,0.251669002,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,2,0.016618269,15
KNOCKAN-N,6,4,1,5,2,0.25,0.220326501,0.219251598,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,1,-0.001074903,4
KNOCKAN-S,6,2,2,5,1,1,,0.248656008,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,3,0.248656008,6
KONUKSON,6,4,0,6,1,0,0.208571927,0.201958582,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,2,-0.006613345,-13
KONUKSON-A,6,2,0,1,0,0,,,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,-1,0,-3
LAYRITZ,6,6,1,4,1,0.166666667,0.223199429,0.232132012,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,-2,0.008932583,5
LILDOUG,6,6,0,7,1,0,0.20220912,0.215775499,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,1,0.01356638,15
MOSSROCK,6,1,0,2,1,0,,,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,1,0,17
PEACOCK,6,2,0,4,2,0,,0.221264696,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,2,0.221264696,19
SCAFE-E,6,8,1,7,1,0.125,0.222879792,0.235665018,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,-1,0.012785226,20
SCAFE-W,6,2,0,5,1,0,,0.244639757,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,3,0.244639757,10
SEYMOUR-S,6,9,0,11,2,0,0.208690705,0.20269883,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,2,-0.005991875,17
STEWART,6,6,0,10,2,0,0.23493254,0.230011408,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,4,-0.004921132,17
SUMMIT,6,2,0,4,2,0,,0.225878771,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,2,0.225878771,6
XMAS,6,4,0,6,1,0,0.193810874,0.211039714,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,2,0.01722884,9
ALBERT,8,8,5,8,5,0.625,0.239026627,0.239026627,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,8,9,6,10,7,0.666666667,0.256586826,0.270119856,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,1,0.01353303,14
BEAR-E,8,9,6,10,6,0.666666667,0.256586826,0.256192926,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,1,-0.0003939,-1
BOULDER-E,8,9,6,12,8,0.666666667,0.244586902,0.252808713,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,3,0.008221811,25
BOULDER-W,8,8,5,9,6,0.625,0.239026627,0.256586826,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,1,0.017560199,15
CAMROSE,8,4,4,7,5,1,0.20461426,0.261897273,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,3,0.057283013,-3
CEDAR,8,6,6,9,6,1,0.267786994,0.283100655,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,3,0.015313661,19
CHATTER,8,7,6,9,6,0.857142857,0.226794771,0.247414957,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,2,0.020620186,9
DEAN-E,8,8,5,10,6,0.625,0.239026627,0.251205304,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,2,0.012178677,8
DEAN-P,8,10,6,12,8,0.6,0.248461793,0.252621074,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,2,0.004159282,0
FKING-N,8,8,5,8,5,0.625,0.26244347,0.26244347,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,0,0,14
FKING-S,8,7,5,9,6,0.714285714,0.242066434,0.256586826,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,2,0.014520392,10
GARIBALDI-W,8,9,5,9,5,0.555555556,0.232493329,0.232493329,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,0,0,21
GONZALES,8,10,8,11,8,0.8,0.26228793,0.268864595,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,1,0.006576665,1
GORE,8,11,7,11,7,0.636363636,0.260572868,0.260363685,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,-0.000209183,-2
HORTH,8,10,7,10,7,0.7,0.24809442,0.24809442,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,8,11,8,13,8,0.727272727,0.248876223,0.25839509,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,2,0.009518867,4
KNOCKAN-S,8,9,6,11,7,0.666666667,0.251447318,0.262136413,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,2,0.010689095,6
KONUKSON,8,8,6,10,6,0.75,0.247361386,0.265481389,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,2,0.018120002,-13
KONUKSON-A,8,8,6,8,5,0.75,0.255684738,0.243087233,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,0,-0.012597505,-3
LAYRITZ,8,10,7,9,5,0.7,0.266347505,0.261559137,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,-1,-0.004788368,5
LILDOUG,8,10,6,10,6,0.6,0.260851866,0.256192926,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,0,-0.00465894,15
MOSSROCK,8,3,3,9,6,1,0.254182219,0.273999474,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,6,0.019817255,17
PEACOCK,8,8,7,8,7,0.875,0.276213562,0.276213562,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,0,0,19
SCAFE-E,8,10,6,12,8,0.6,0.225296067,0.252621074,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,2,0.027325007,20
SCAFE-W,8,9,5,11,7,0.555555556,0.243808874,0.235899782,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,2,-0.007909092,10
SEYMOUR-S,8,9,6,9,6,0.666666667,0.256586826,0.256586826,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,0,0,17
STEWART,8,12,6,11,8,0.5,0.233206975,0.260467044,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,-1,0.027260069,17
SUMMIT,8,7,7,12,7,1,0.245693473,0.274435141,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,5,0.028741669,6
XMAS,8,10,7,13,8,0.7,0.26164132,0.263391623,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,3,0.001750303,9
ALBERT,9,1,1,2,2,1,,,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,1,0,-1
BEAR-A,9,2,1,2,1,0.5,,,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,0,0,14
BEAR-E,9,2,1,2,1,0.5,,,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,0,0,-1
BOULDER-E,9,2,1,3,2,0.5,,0.242965121,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,1,0.242965121,25
BOULDER-W,9,2,1,3,2,0.5,,0.242965121,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,1,0.242965121,15
CAMROSE,9,2,2,3,3,1,,0.226411913,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,1,0.226411913,-3
CEDAR,9,2,1,4,3,0.5,,0.236579745,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,2,0.236579745,19
CHATTER,9,1,1,1,1,1,,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,9,2,1,2,1,0.5,,,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,0,0,8
DEAN-P,9,2,1,2,1,0.5,,,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,0,0,0
FKING-N,9,2,1,1,1,0.5,,,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,-1,0,14
FKING-S,9,2,1,2,1,0.5,,,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,9,3,1,2,1,0.333333333,0.222170438,,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,-1,-0.222170438,21
GONZALES,9,5,3,3,3,0.6,0.240225811,0.226411913,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,-2,-0.013813898,1
GORE,9,3,1,3,1,0.333333333,0.222170438,0.222170438,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,0,0,-2
HORTH,9,2,1,2,1,0.5,,,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,9,2,1,3,2,0.5,,0.242965121,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,1,0.242965121,4
KNOCKAN-S,9,2,2,3,3,1,,0.226411913,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,1,0.226411913,6
KONUKSON,9,4,3,2,1,0.75,0.236579745,,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,-2,-0.236579745,-13
KONUKSON-A,9,2,2,1,1,1,,,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,-1,0,-3
LAYRITZ,9,1,1,2,2,1,,,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,1,0,5
LILDOUG,9,3,2,3,2,0.666666667,0.242965121,0.242965121,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,0,0,15
MOSSROCK,9,3,3,4,3,1,0.226411913,0.236579745,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,1,0.010167832,17
PEACOCK,9,3,3,3,3,1,0.226411913,0.226411913,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,0,0,19
SCAFE-E,9,2,1,2,1,0.5,,,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,0,0,20
SCAFE-W,9,2,1,2,1,0.5,,,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,0,10
SEYMOUR-S,9,3,1,2,1,0.333333333,0.215961298,,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,-1,-0.215961298,17
STEWART,9,2,1,2,1,0.5,,,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,0,0,17
SUMMIT,9,4,4,4,4,1,0.27119219,0.27119219,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,0,0,6
XMAS,9,4,3,4,3,0.75,0.236579745,0.236579745,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,0,0,9
ALBERT,10,1,0,1,0,0,,,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,0,0,-1
BEAR-A,10,2,0,1,0,0,,,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,-1,0,14
BEAR-E,10,1,0,1,0,0,,,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,0,0,-1
BOULDER-E,10,2,0,1,0,0,,,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,-1,0,25
BOULDER-W,10,1,0,1,0,0,,,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,0,0,15
CAMROSE,10,1,0,1,0,0,,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,0,0,-3
CEDAR,10,2,0,1,0,0,,,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,-1,0,19
CHATTER,10,1,0,1,0,0,,,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,10,1,0,3,0,0,,0.152782635,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,2,0.152782635,8
DEAN-P,10,3,0,2,0,0,0.153321221,,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,-1,-0.153321221,0
FKING-N,10,2,0,3,0,0,,0.167849778,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,1,0.167849778,14
FKING-S,10,1,0,2,0,0,,,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,1,0,10
GARIBALDI-W,10,3,0,1,0,0,0.153822565,,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,-2,-0.153822565,21
GONZALES,10,3,0,2,0,0,0.212955029,,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,-1,-0.212955029,1
GORE,10,2,0,3,0,0,,0.140827319,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,1,0.140827319,-2
HORTH,10,2,0,2,0,0,,,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,10,2,0,2,0,0,,,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,0,0,4
KNOCKAN-S,10,2,0,2,0,0,,,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,0,0,6
KONUKSON,10,2,0,1,0,0,,,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,-1,0,-13
KONUKSON-A,10,1,0,1,0,0,,,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,0,0,-3
LAYRITZ,10,2,0,1,0,0,,,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,-1,0,5
LILDOUG,10,2,0,1,0,0,,,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,-1,0,15
MOSSROCK,10,2,0,2,0,0,,,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,0,0,17
PEACOCK,10,1,0,2,1,0,,,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,1,0,19
SCAFE-E,10,3,0,3,0,0,0.152782635,0.152782635,48.492,-123.485,CRD,5.028,5.028,0,5.43,881894,Low,99,0.35,0.06,0,0,20
SCAFE-W,10,1,0,1,0,0,,,48.492,-123.489,CRD,1.843,1.649,0.11,8.33,533719.8,None,76,0.38,-0.08,0,0,10
SEYMOUR-S,10,2,0,2,0,0,,,48.464,-123.465,CRD,3.267,3.022,0.07,3.44,2342245,None,106,0.39,-0.02,0,0,17
STEWART,10,2,0,1,0,0,,,48.496,-123.493,CRD,6.524,5.833,0.11,0.69,476104.7,None,105,0.33,0.02,-1,0,17
SUMMIT,10,1,0,1,0,0,,,48.446,-123.354,City of Victoria,5.882,4.961,0.16,11.26,33108.48,High,92,0.73,0.03,0,0,6
XMAS,10,2,0,2,0,0,,,48.474,-123.377,Christmas Hill Nature Sanctuary,8.721,8.721,0,3.44,65270.2,High,112,0.55,0.03,0,0,9
ALBERT,12,4,2,2,1,0.5,0.196834605,,48.391,-123.49,DND,1.173,1.068,0.09,8.44,109130.2,Low,84,0.51,0,-2,-0.196834605,-1
BEAR-A,12,4,2,3,1,0.5,0.243860567,0.233272019,48.546,-123.409,CRD,2.146,1.824,0.15,3.64,50181.04,None,78,0.4,0.02,-1,-0.010588547,14
BEAR-E,12,5,2,4,2,0.4,0.255087686,0.2101394,48.546,-123.405,CRD,4.477,3.639,0.19,3.93,28970.14,Low,96,0.35,-0.01,-1,-0.044948286,-1
BOULDER-E,12,6,2,8,4,0.333333333,0.22216487,0.229545191,48.505,-123.372,Saanich,1.73,1.68,0.03,4.52,25283.02,None,94,0.44,0.02,2,0.007380321,25
BOULDER-W,12,4,3,4,3,0.75,0.254998294,0.254998294,48.505,-123.375,Saanich,1.113,1.067,0.04,10.17,27006.47,None,79,0.37,0.08,0,0,15
CAMROSE,12,4,1,1,0,0.25,0.195192605,,48.454,-123.352,Saanich,1.477,1.104,0.25,1.97,69018.49,Low,66,0.7,-0.02,-3,-0.195192605,-3
CEDAR,12,3,1,3,2,0.333333333,0.233272019,0.229651036,48.458,-123.347,Saanich,2.766,2.369,0.14,3.58,77929.92,High,68,0.62,0.04,0,-0.003620983,19
CHATTER,12,3,1,3,1,0.333333333,0.178230731,0.178230731,48.491,-123.385,Saanich,1.223,1.089,0.11,2.14,15888.79,Med,84,0.64,-0.06,0,0,9
DEAN-E,12,3,2,4,2,0.666666667,0.229651036,0.2101394,48.61,-123.443,BC Parks,0.725,0.725,0,7.95,17421.59,High,82,0.33,0.04,1,-0.019511636,8
DEAN-P,12,2,2,5,2,1,,0.203192958,48.612,-123.442,BC Parks,0.769,0.769,0,9.85,17872.01,High,85,0.29,0.01,3,0.203192958,0
FKING-N,12,4,2,3,2,0.5,0.22853397,0.178440403,48.487,-123.442,CRD,1.355,0.987,0.27,1.74,409167.9,None,80,0.33,0.06,-1,-0.050093568,14
FKING-S,12,3,1,3,1,0.333333333,0.233272019,0.233272019,48.477,-123.45,CRD,1.202,1.202,0,2.58,2171374,None,81,0.36,0.05,0,0,10
GARIBALDI-W,12,4,1,3,1,0.25,0.216677322,0.25128447,48.337,-123.58,DND,5.89,5.86,0.01,1.08,82461.15,None,95,0.28,0.04,-1,0.034607148,21
GONZALES,12,5,2,2,1,0.4,0.182386194,,48.414,-123.325,CRD,1.312,1.101,0.16,2.22,28234.75,Low,95,0.61,0.06,-3,-0.182386194,1
GORE,12,6,2,5,2,0.333333333,0.22216487,0.203192958,48.567,-123.455,CRD,1.548,1.34,0.13,6.1,39619.77,High,101,0.39,0,-1,-0.018971912,-2
HORTH,12,4,2,4,2,0.5,0.243860567,0.243860567,48.683,-123.432,CRD,1.216,0.871,0.28,2.89,22215.26,None,82,0.4,0.02,0,0,15
KNOCKAN-N,12,7,2,5,2,0.285714286,0.223420925,0.225278062,48.47,-123.417,Saanich; Friends of Knockan Hill Park,3.185,2.88,0.1,5.79,49476.64,Med,111,0.51,-0.03,-2,0.001857137,4
KNOCKAN-S,12,4,2,4,1,0.5,0.2101394,0.195192605,48.469,-123.419,Saanich; Friends of Knockan Hill Park,1.27,1.109,0.13,4.35,62155.21,Low,97,0.6,-0.07,0,-0.014946795,6
KONUKSON,12,2,0,2,1,0,,,48.454,-123.274,Saanich,0.595,0.565,0.05,8.31,70719.17,None,73,0.55,-0.14,0,0,-13
KONUKSON-A,12,4,2,3,1,0.5,0.2101394,0.188528815,48.455,-123.273,Saanich,0.178,0.134,0.25,2.27,72684.95,None,72,0.63,0,-1,-0.021610585,-3
LAYRITZ,12,6,4,5,2,0.666666667,0.217689058,0.228352826,48.49,-123.413,Saanich,4.431,3.491,0.21,2.08,42008.72,None,107,0.51,0.06,-1,0.010663768,5
LILDOUG,12,5,3,5,3,0.6,0.231353191,0.231353191,48.491,-123.351,Saanich,8.815,8.815,0,0.79,254285.7,High,106,0.42,-0.03,0,0,15
MOSSROCK,12,3,1,5,2,0.333333333,0.178230731,0.206872072,48.412,-123.346,City of Victoria,2.032,1.978,0.03,7.64,51199.58,Med,82,0.7,0.02,2,0.028641341,17
PEACOCK,12,4,1,6,2,0.25,0.177756807,0.197364502,48.45,-123.353,Saanich,1.146,1.034,0.1,9.92,65664.79,Low,71,0.7,0.01,2,0.019607695,19
